Source_id,RA_deg,DEC_deg,S_mJy,Serr_mJy,s_max_arcsec,s_min_arcsec,s_pa_deg,fit_spix
MKTCS J001329.78-311224.4,3.3741,-31.2068,0.191,0.032,9.6,8.6,68,
MKTCS J001331.24-311309.6,3.3802,-31.2194,0.762,0.025,8.5,7.5,94,-1.57
MKTCS J001331.37-311221.2,3.3807,-31.2059,0.190,0.031,9.4,8.3,74,
MKTCS J001331.53-314058.9,3.3814,-31.6830,0.157,0.026,8.9,7.4,117,
MKTCS J001333.08-310828.2,3.3878,-31.1412,0.325,0.029,8.5,8.0,98,-2.01
MKTCS J001334.68-315713.3,3.3945,-31.9537,0.239,0.039,8.3,7.6,81,
MKTCS J001336.48-314854.2,3.4020,-31.8151,0.501,0.037,9.1,8.3,108,-1.86
MKTCS J001338.48-311522.0,3.4104,-31.2561,0.501,0.022,7.9,7.4,95,-1.32
MKTCS J001339.25-312245.7,3.4136,-31.3794,0.136,0.024,8.7,7.9,123,
MKTCS J001340.02-314119.3,3.4168,-31.6887,0.183,0.026,8.2,8.1,124,
MKTCS J001341.80-314712.2,3.4242,-31.7867,0.456,0.033,9.1,8.0,117,-1.68
MKTCS J001345.40-311722.2,3.4392,-31.2895,0.173,0.025,8.9,7.8,106,
MKTCS J001345.57-313304.9,3.4399,-31.5514,0.133,0.025,9.8,7.2,135,
MKTCS J001349.00-314001.7,3.4542,-31.6672,0.351,0.025,8.4,7.9,120,-1.86
MKTCS J001349.01-305328.5,3.4542,-30.8913,0.295,0.039,9.5,7.8,118,-2.65
MKTCS J001349.46-314127.3,3.4561,-31.6909,0.168,0.033,9.6,9.2,127,
MKTCS J001350.21-305923.4,3.4592,-30.9898,0.268,0.031,8.5,7.7,123,-1.32
MKTCS J001351.03-315758.6,3.4627,-31.9663,0.475,0.042,9.0,8.2,128,-2.63
MKTCS J001351.62-311725.8,3.4651,-31.2905,0.157,0.025,9.0,8.1,105,-3.25
MKTCS J001358.51-310818.0,3.4938,-31.1384,0.215,0.031,10.0,8.1,75,-2.71
MKTCS J001359.59-312348.2,3.4983,-31.3967,0.140,0.025,9.5,8.7,59,-2.09
MKTCS J001359.64-314617.2,3.4985,-31.7715,0.172,0.030,9.1,8.1,77,
MKTCS J001359.80-305256.1,3.4992,-30.8823,3.288,0.032,7.9,7.4,96,-1.07
MKTCS J001400.06-313142.9,3.5003,-31.5286,0.192,0.025,9.9,7.9,109,-2.40
MKTCS J001402.91-315822.7,3.5121,-31.9730,0.657,0.037,8.6,8.0,109,-1.52
MKTCS J001406.57-310835.9,3.5274,-31.1433,0.166,0.029,9.4,8.3,151,
MKTCS J001408.42-311014.9,3.5351,-31.1708,0.138,0.026,9.4,7.9,128,
MKTCS J001410.39-313103.2,3.5433,-31.5176,0.410,0.021,8.5,8.0,111,-1.06
MKTCS J001412.10-312321.0,3.5504,-31.3892,0.114,0.021,9.6,7.6,107,
MKTCS J001413.55-313827.4,3.5565,-31.6410,0.186,0.025,9.5,8.4,121,-2.90
MKTCS J001416.03-305819.7,3.5668,-30.9721,0.197,0.038,9.4,8.7,131,
MKTCS J001416.29-305504.1,3.5679,-30.9178,0.296,0.040,9.6,8.2,113,-1.22
MKTCS J001417.12-305705.8,3.5713,-30.9516,0.175,0.034,8.7,7.8,138,
MKTCS J001417.24-305738.8,3.5718,-30.9608,0.469,0.034,8.7,8.0,115,-1.62
MKTCS J001419.89-310254.1,3.5829,-31.0484,0.355,0.027,8.0,7.5,84,-1.80
MKTCS J001419.91-313909.3,3.5830,-31.6526,0.169,0.022,9.0,8.0,92,-2.68
MKTCS J001420.02-311542.8,3.5834,-31.2619,0.106,0.019,8.3,7.8,123,
MKTCS J001422.37-310237.6,3.5932,-31.0438,0.210,0.034,9.6,8.3,78,
MKTCS J001422.43-312423.6,3.5935,-31.4066,0.169,0.018,8.5,8.0,146,-1.11
MKTCS J001424.53-310957.2,3.6022,-31.1659,0.163,0.023,9.1,7.5,145,-1.88
MKTCS J001425.19-310819.5,3.6050,-31.1388,0.148,0.025,9.6,7.4,97,
MKTCS J001426.19-312229.7,3.6092,-31.3749,0.125,0.020,9.3,8.3,130,-1.14
MKTCS J001426.68-311807.4,3.6112,-31.3021,0.134,0.018,8.6,7.6,172,-1.39
MKTCS J001428.71-314300.5,3.6197,-31.7168,0.196,0.021,8.6,7.7,98,-2.19
MKTCS J001429.38-310436.1,3.6224,-31.0767,0.696,0.024,7.9,7.6,97,-1.27
MKTCS J001431.01-313722.1,3.6292,-31.6228,0.210,0.020,9.2,7.7,105,-1.79
MKTCS J001434.65-314346.0,3.6444,-31.7295,0.231,0.024,9.2,8.4,138,-1.99
MKTCS J001434.85-311009.2,3.6452,-31.1692,0.215,0.019,7.9,7.4,140,-1.01
MKTCS J001436.91-312824.0,3.6538,-31.4733,0.582,0.015,7.8,7.4,108,-1.38
MKTCS J001437.06-310818.7,3.6545,-31.1385,0.199,0.023,9.4,7.3,129,-2.47
MKTCS J001438.12-314224.4,3.6589,-31.7068,0.298,0.019,8.6,7.3,92,-1.17
MKTCS J001438.29-310652.8,3.6596,-31.1147,0.244,0.022,7.9,7.6,117,-1.55
MKTCS J001439.48-311941.6,3.6645,-31.3282,0.129,0.017,8.9,7.8,125,-2.82
MKTCS J001440.39-313043.3,3.6683,-31.5120,0.090,0.018,9.9,7.5,75,
MKTCS J001443.59-305001.9,3.6817,-30.8339,0.263,0.033,9.1,7.5,126,-1.97
MKTCS J001445.58-310829.1,3.6899,-31.1414,0.210,0.019,8.1,7.4,97,-1.68
MKTCS J001450.52-311858.5,3.7105,-31.3163,0.079,0.014,8.0,7.4,49,
MKTCS J001456.87-310006.6,3.7370,-31.0019,0.134,0.026,8.4,7.4,143,
MKTCS J001500.09-313119.1,3.7504,-31.5220,0.150,0.014,8.3,7.3,69,-2.01
MKTCS J001500.36-312619.0,3.7515,-31.4386,0.117,0.015,9.6,7.2,104,-2.57
MKTCS J001500.97-315058.2,3.7541,-31.8495,0.251,0.025,9.0,7.8,96,-1.11
MKTCS J001502.83-313553.8,3.7618,-31.5983,0.070,0.014,7.7,7.3,4,
MKTCS J001504.22-311552.2,3.7676,-31.2645,0.139,0.016,8.8,7.9,114,-1.79
MKTCS J001505.23-313309.2,3.7718,-31.5526,0.103,0.017,9.5,7.6,96,
MKTCS J001505.57-314039.7,3.7732,-31.6777,0.167,0.017,8.0,7.6,65,-1.20
MKTCS J001505.80-313315.9,3.7742,-31.5544,0.068,0.013,7.7,7.2,113,
MKTCS J001507.31-315727.7,3.7805,-31.9577,0.545,0.028,8.5,8.3,99,-1.65
MKTCS J001508.89-311811.5,3.7870,-31.3032,0.109,0.016,8.9,8.0,91,
MKTCS J001509.12-310646.2,3.7880,-31.1128,0.394,0.020,8.6,7.7,92,-1.98
MKTCS J001509.87-314248.4,3.7912,-31.7135,0.132,0.016,7.8,7.3,54,-1.46
